风韵犹存的阿姨.[色][挖鼻]5523 http://t.cn/A6RUSyYS,负面
说的很有道理哟，，，,正面
生活就是要充满烟火气,正面
嗯，不错，赞一个,正面
这博文相当的给力!!!,负面
感觉很不错，一定会支持到底的。,正面
驾驭命运的舵是奋斗。不抱有幻想,正面
千磨万击还坚劲，任尔东西南北风！！！,负面
而与你有关的日子，才是未来。,正面
笑看得失才会海阔天空,正面
最值得被等待的是将来的自己～,正面
只要你想赢，就没人能让你输。,正面
把握当下，珍惜每一个瞬间，让每一刻都充满正能量！！,正面
好可爱的两小汁[打call][打call],正面
杰伦老师早点睡,正面
风韵犹存的阿姨.[色]61 http://t.cn/A6RLFuXA,负面
可可爱爱的[心],正面
[努力][努力][努力],正面
小凯真是一直没有变化,正面
可以哈,正面
太可爱了,正面
哎呦[心],负面
婵宝好可爱[打call],正面
骑行姐姐,正面
媛么,中性
求一个app、大佬们、、、,负面
好贵的样子,正面
这个衣服就很炸裂,正面
这衣服太酷辣,正面
这一身 很有魅力[打call],正面
电到了,中性
不错这身衣服真炸裂。,正面
我最喜欢骑行了啊,正面
就很特别,正面
冲冲~鸭彼赛！最近活冻多，上?！[努力][努力][心],负面
见者好运[哇],负面
7楼[污],负面
想吃小柔元气满满的脚子[挤眼][挤眼][挤眼],正面
现场直播羞羞[色],负面
He is very[心] clever,正面
最后一个动作跳下来又是一个开始，加油啊，我们下个赛场见[全力以赴],正面
下一场比赛又是一个新的开始[打call][打call][打call],正面
妹宝你不要给自己太大压力，相信自己！你真的很棒！健健康康的，大踏步迈向巴黎吧[努力][努力][努力]，你是最棒的全红婵！,正面
妹妹继续加油！巴黎奥运见！永远爱你！,正面
一站有一站的风景 世界杯的全部比赛到此结束 下一站就是巴黎 好好备战 保护好自己 我们巴黎见,正面
恭喜宝宝，希望巴黎好好发挥，技战术也很重要。多看些心理辅导书，巴黎是大赛场。,正面
最相信我的宝贝 我们巴黎见 这次也辛苦啦[心],正面
恭喜宝宝顺利完赛，已经很棒啦！巴黎前一切都是经验，好好总结继续加油，我们下个赛场见，巴黎见[给你小心心],正面
婵宝无论发生什么事，要相信自己，超越自己！不要怕所有的事与愿违，一切自有安排，未来在脚下。[心],正面
宝宝好好备战继续加油[打call],正面
宝宝你好棒[亲亲][亲亲]特别厉害的全红婵，咱们先好好休息总结，继续加油，勇敢向巴黎吧，好多人一直爱你支持你哦[亲亲],正面
好棒[打call][打call][打call],正面
特别厉害,负面
小红真棒呀，冠军是一种希望，亚军是一种经历，都是好的，我们接下来拼奥运会，我们一直支持你,正面
宝宝特别棒[送花花][送花花],正面
继续加油哦[兔子][兔子][兔子],正面
全红婵辛苦啦！这么密集的比赛终于短暂的告一段落，非常棒！巴黎加油一切顺利！！！[心],正面
小红你很棒！！期待巴黎奥运会的你啦！加油[送花花],正面
妹妹继续加油继续努力[抱一抱] 下场比赛见[爱你],正面
恭喜宝宝顺利健康完赛，辛苦了连续三个月比赛，最后一个动作下来又是一个新的开始，加油！好好调整，咱们巴黎见[愛你],正面
以前最爱看这节目,正面
以前的看点可多了[允悲][允悲],正面
我以前还参加过呢，就是被淘汰了[允悲],正面
导演是懂观众滴,正面
以前中午就喜欢看这节目,负面
风韵犹存的阿姨.[色][挖鼻]12 http://t.cn/A6RUtMj7,负面
我想要..哥哥[吃瓜]85 http://t.cn/A6RUbTyc,正面
我妹妹好看嘛..[赞]81 http://t.cn/A6RyFEeQ,正面
不是节目懂观众，是参赛者懂观众,正面
致敬英雄！,正面
致敬。,正面
雷总真好啊，到哪儿都给我们报备[doge],正面
雷总爬的什么山[喵喵],正面
雷总，澎湃系统很卡能不能解决一下,正面
没有大太阳！很适合运动！,正面
雷总，小米会出suv 吗？[鲜花],正面
雷总真是精力旺盛啊[good],正面
你倒是去爬山了，我的手机问题还没解决。我的小米14PRO，指纹别人能解开，怎么解释。还是只能一个人解开，其他人解不开。删了从录方法都试过。系统也是最新的。接受自己的缺点、问题，就这么难吗？打客服来回推脱。有意思吗？作为用户以为我希望出现这种问题吗？,负面
雷总我购买的su7出现了运损，一直在打厂家电话和交付中心，希望能够更换无损车辆，或者作出合理补偿，但均被拒绝，给出的补偿方案太低我无法接受，我又已经全款交付了，现在不知道该怎么办，求解决[泪],负面
注意休息啊，多喝喝水,负面
雷总上山带了两手机吗？,正面
呼吸一下新鲜空气[心],正面
雷总周末愉快[心]玩得开心呐,正面
拍照卡啊[泪][泪]雷哥，手机真要优化了，小米13一年多卡成什么啦[泪],正面
雷总，接触大自然，心旷神怡！心胸都开阔了[心][心][心],正面
天气不错，看日出 http://t.cn/A681WIPa,正面
比广州凉快,正面
军儿， 1.无法通过手机浏览器下载小米商城app，显示页面丢失。 2.手机到电脑之间传输文件会出现未传输完毕，但是显示传输完毕，并卡死。3.电脑备份的手机套件停止维护。 4.我的红米note 10，和K40过保两个月就cpu虚焊。 5.啥时候出支持tf卡的中端和高端手机，为什么要支持tf卡？见4。,负面
仙桃热的要命[揣手],负面
总啊，昨天爬一天山累死我了，你上山可以快点，下山的时候可得慢慢的来[给你小心心],正面
让我瞅瞅 http://t.cn/A681HI8B,负面
可爱的小仙女[爱你],正面
我妹妹好看嘛..[赞]43 http://t.cn/A6RykajW,正面
想不想和我深入交流啊 http://t.cn/A6RAeJg5,正面
你闯进我[心]的镜头，我按下[心]了永远102,正面
我妹妹好看嘛..[赞]4 http://t.cn/A6RU6LSv,正面
@亦忧亦绿,正面
[并不简单],负面
刚才刷到的，拿走不谢，好多花蝴蝶[笑cry]满了的话就不怪我了 回来叫声义父，哈哈哈[doge][doge] http://t.cn/A6RAkt0a,正面
吃瓜[礼物]→@小乖的幸运笔记  [舔屏],正面
我是你粉丝，先给我吃（在玩抽象互喷）,负面
周杰伦真的好喜欢西瓜[允悲],正面
求教程[泪],正面
周杰伦不错吗吃西瓜,负面
梦中情瓜,正面
我也想吃[哈哈],正面
看得出来你好喜欢吃西瓜[doge],负面
@1有你在就幸福 我喜欢这个瓜,正面
哥，你这西瓜买的不错啊,负面
在炎热的夏天里，有一种食物，让人吃了神清气爽；有一种食物，让人吃了眼前一亮；有一种食物，让人吃了炎热之情荡然无存。[鲜花][心]谢谢杰伦和家人,正面
西瓜的外表是绿黑相间的，绿中有黑，黑中有绿。这两种在西瓜上的颜色就像是一对好朋友，无论走到哪里都形影不离。它的瓤酸酸甜甜，非常好吃。[心][鲜花],正面
我以为你会在那边看完接力[允悲],正面
人间皆是浪漫,正面
好美啊[送花花],正面
[舉手],中性
拿,正面
@1-1泡沫,负面
建议弄个印章[允悲][允悲],正面
全妹是左手写字吗[哈哈],正面
影响了婵宝休息，签一个字八十元，作为加班费。,负面
明星的烦恼[嘻嘻],正面
离谱[哈哈][哈哈][哈哈],负面
哎……[摊手][摊手][摊手],负面
好忙,正面
超可爱呢,正面
真的好喜欢你啊[打call],正面
好漂亮[哇],正面
oh my sun[可怜][可怜][可怜],负面
风格百变，超适合你哒[挤眼],负面
[舔屏][舔屏],负面
甜妹[喵喵],负面
这简直我女神[苦涩],正面
我喜欢你,正面
完了吧，被比下去了吧[doge],正面
都很帅呢,正面
年轻的老小子[doge],正面
又潇洒啦[doge]老雷,正面
这是谁家的小孩are right？[可怜][可怜][可怜] http://t.cn/A6RzwmhS,负面
这个很爽，不知道下一秒是啥地形,正面
雷总，注意防晒啊，可别水灵灵的把你晒黑了,正面
萌物一枚[亲亲][亲亲][亲亲]老婆贴贴,正面
